id,group_id,label,page_contexts,segments,categories,sort_order,is_enabled,created_at,updated_at
000a1565-3518-4978-920b-77ec1f11270f,008f4a97-8872-445c-b95d-0b2477694b8c,Cash rebate,[],[],,0,true,2026-03-24 01:44:54.828762+00,2026-03-24 01:44:54.828762+00
00c17a08-ae55-4ff6-bceb-88dd1e40681f,ce4af679-27b1-4d56-b151-0d66552d24cc,Community solar subscription,[],[],,3,true,2026-03-24 01:44:45.829868+00,2026-03-24 01:44:45.829868+00
01385792-d484-4ee1-8afc-11b6d5fa3867,f72bff70-3591-4567-a1ba-79d3c9d29577,All customers,[],[],,1,true,2026-03-24 01:44:47.557438+00,2026-03-24 01:44:47.557438+00
0178c773-fb5b-4e04-a6bb-a2c39796f0d0,9a827896-cc93-4193-9d36-bea2d1bbdc3a,Battery storage,[],[],,3,true,2026-03-24 01:45:00.495767+00,2026-03-24 01:45:00.495767+00
02190484-7d82-4c30-adf4-080843296c67,6ee83391-7046-4843-bfb8-f40035a6abd6,Medium-sized business,[],[],,1,true,2026-03-24 01:45:06.054662+00,2026-03-24 01:45:06.054662+00
028a63ad-2f90-42c2-88b6-f78efa240645,f04a8061-a702-47bd-93fd-0371a1011493,Mixed-use building,[],[],,3,true,2026-03-24 01:44:55.373639+00,2026-03-24 01:44:55.373639+00
030ff7e9-ab87-4735-a27b-a1bd4ca68dde,9dee05b7-2096-4e61-8f4e-1e2652e78288,High-performance windows / film,[],[],,1,true,2026-03-24 01:44:52.369973+00,2026-03-24 01:44:52.369973+00
035ddff1-b5bb-454c-8e4e-a12894fee005,5b339e73-8177-41dd-adcd-de354a0276e7,Renter-friendly,[],[],,1,true,2026-03-24 01:44:45.043569+00,2026-03-24 01:44:45.043569+00
038c9e75-8391-4057-a785-0d8ede2453e9,23a106c3-fd99-4db2-a0d1-a6b03d5c22f9,Cash rebate,[],[],,0,true,2026-03-24 01:44:52.106909+00,2026-03-24 01:44:52.106909+00
0420a16c-0607-4240-90dd-6e87e2852023,01dc97e7-e216-457d-9847-6635665df9ca,Free service or product,[],[],,5,true,2026-03-24 01:45:07.370994+00,2026-03-24 01:45:07.370994+00
046153a6-9546-4708-9ae4-ae17f5a81d08,d92396ad-ef65-4b71-a8e2-2df1a67fcc4b,Rooftop solar (building owner),[],[],,0,true,2026-03-24 01:44:56.976639+00,2026-03-24 01:44:56.976639+00
04a01a8a-7759-4743-a7bb-07e4a15a615c,69ab83c9-db69-4c70-a264-31392078d36d,Air source heat pump,[],[],,0,true,2026-03-24 01:44:43.072504+00,2026-03-24 01:44:43.072504+00
04cb40de-bfb6-4876-875f-13bb34aaf8a8,504b971c-b0b0-44e8-a97e-200e5ff12046,Community solar credit,[],[],,5,true,2026-03-24 01:44:45.348181+00,2026-03-24 01:44:45.348181+00
0509cc8f-540c-4685-b289-3b2836e2c782,27feeaaa-730d-434c-8f42-84a4fa9578ca,Farming & agricultural,[],[],,11,true,2026-03-24 01:45:13.481234+00,2026-03-24 01:45:13.481234+00
051b2b91-b473-4f95-a7f2-ac5efb8fad92,a1070a5b-32a4-4db3-bfaa-0734ee541d3c,Percentage off project cost,[],[],,4,true,2026-03-24 01:45:03.693023+00,2026-03-24 01:45:03.693023+00
0544811c-3608-43e1-b73c-1efca1d757d3,37e84870-43b7-4604-9da4-caa64e63178f,Any customer,[],[],,3,true,2026-03-24 01:45:03.946589+00,2026-03-24 01:45:03.946589+00
